"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2022","5.0280","4.9200","5.0589","4.9173","147.31K","2.20%"
"05/04/2022","4.9198","4.9563","5.0368","4.8921","129.09K","-0.78%"
"05/03/2022","4.9584","5.0841","5.0841","4.9559","110.69K","-2.49%"
"05/02/2022","5.0848","4.9692","5.0940","4.9657","126.82K","2.27%"
"04/29/2022","4.9721","4.9404","4.9819","4.8588","119.04K","0.60%"
"04/28/2022","4.9425","4.9654","5.0461","4.9351","115.86K","-0.46%"
"04/27/2022","4.9651","4.9992","5.0405","4.9277","155.70K","-0.68%"
"04/26/2022","4.9989","4.8777","5.0023","4.8777","107.70K","2.51%"
"04/25/2022","4.8766","4.7974","4.9490","4.7974","121.29K","1.73%"
"04/22/2022","4.7937","4.6214","4.8393","4.6214","87.37K","3.71%"
"04/21/2022","4.6220","4.6224","4.6225","4.6224","","0.00%"
"04/20/2022","4.6219","4.6663","4.6803","4.6080","78.00K","-0.98%"
"04/19/2022","4.6675","4.6536","4.6866","4.6379","82.41K","0.32%"
"04/18/2022","4.6527","4.6971","4.7091","4.6438","59.88K","-0.93%"
"04/15/2022","4.6965","4.6971","4.6971","4.6970","0.01K","-0.10%"
"04/14/2022","4.7013","4.6880","4.7417","4.6854","79.83K","0.24%"
"04/13/2022","4.6899","4.6780","4.7056","4.6512","77.50K","0.35%"
"04/12/2022","4.6735","4.6892","4.6958","4.6215","89.54K","-0.45%"
"04/11/2022","4.6944","4.7056","4.7397","4.6783","90.17K","-0.06%"
"04/08/2022","4.6970","4.7534","4.7950","4.6935","82.52K","-1.17%"
"04/07/2022","4.7524","4.7093","4.7733","4.6894","89.23K","0.77%"
"04/06/2022","4.7161","4.6523","4.7263","4.6460","95.12K","1.41%"
"04/05/2022","4.6506","4.5950","4.6742","4.5805","88.39K","1.26%"
"04/04/2022","4.5928","4.6595","4.6751","4.5885","61.19K","-1.39%"
"04/01/2022","4.6575","4.7408","4.7408","4.6525","82.68K","-1.72%"
"03/31/2022","4.7390","4.7709","4.7965","4.7215","80.74K","-0.62%"
"03/30/2022","4.7685","4.7580","4.7924","4.7252","75.89K","0.26%"
"03/29/2022","4.7561","4.7680","4.7850","4.7148","99.42K","-0.24%"
"03/28/2022","4.7675","4.7526","4.8196","4.7326","86.53K","0.54%"
"03/25/2022","4.7420","4.8273","4.8298","4.7297","84.54K","-1.73%"
"03/24/2022","4.8253","4.8263","4.8591","4.7649","103.23K","-0.01%"
"03/23/2022","4.8258","4.9108","4.9214","4.8215","76.65K","-1.70%"
"03/22/2022","4.9094","4.9366","4.9514","4.9048","78.97K","-0.53%"
"03/21/2022","4.9354","5.0245","5.0299","4.9309","85.62K","-1.75%"
"03/18/2022","5.0231","5.0406","5.0760","4.9924","80.61K","-0.32%"
"03/17/2022","5.0390","5.0778","5.1080","5.0279","81.57K","-0.72%"
"03/16/2022","5.0757","5.1599","5.1599","5.0718","106.55K","-1.69%"
"03/15/2022","5.1631","5.1224","5.1700","5.0922","73.29K","0.86%"
"03/14/2022","5.1193","5.0591","5.1402","5.0373","86.61K","0.88%"
"03/11/2022","5.0745","5.0132","5.0820","4.9820","77.23K","1.27%"
"03/10/2022","5.0110","5.0150","5.0765","5.0101","82.63K","-0.03%"
"03/09/2022","5.0123","5.0286","5.0363","4.9850","88.21K","-0.94%"
"03/08/2022","5.0599","5.0813","5.1011","5.0446","117.62K","-1.01%"
"03/07/2022","5.1115","5.0785","5.1152","5.0280","99.80K","0.98%"
"03/04/2022","5.0620","5.0517","5.1017","5.0227","102.09K","0.60%"
"03/03/2022","5.0320","5.0978","5.1155","5.0188","97.21K","-1.32%"
"03/02/2022","5.0995","5.2144","5.2233","5.0866","43.07K","-1.16%"
"03/01/2022","5.1595","5.1605","5.1605","5.1605","","-0.01%"
"02/28/2022","5.1599","5.1638","5.1654","5.1600","0.02K","-0.05%"
"02/25/2022","5.1623","5.1199","5.1810","5.0785","94.23K","0.77%"
"02/24/2022","5.1231","5.0050","5.1640","5.0050","109.51K","2.26%"
"02/23/2022","5.0097","5.0621","5.0621","4.9939","76.78K","-0.96%"
"02/22/2022","5.0583","5.1080","5.1080","5.0437","89.78K","-0.89%"
"02/21/2022","5.1036","5.1374","5.1552","5.0746","69.14K","-0.68%"
"02/18/2022","5.1385","5.1718","5.1766","5.1088","82.29K","-0.64%"
"02/17/2022","5.1718","5.1360","5.1840","5.1238","74.30K","0.69%"
"02/16/2022","5.1365","5.1600","5.1782","5.1225","81.54K","-0.44%"
"02/15/2022","5.1590","5.2188","5.2212","5.1585","80.07K","-1.07%"
"02/14/2022","5.2149","5.2560","5.2670","5.1954","98.44K","-0.72%"
"02/11/2022","5.2527","5.2365","5.2659","5.1805","113.44K","0.06%"
"02/10/2022","5.2496","5.2389","5.2557","5.1727","111.97K","0.27%"
"02/09/2022","5.2354","5.2600","5.2910","5.2126","74.37K","-0.45%"
"02/08/2022","5.2593","5.2634","5.2900","5.2508","67.62K","-0.08%"
"02/07/2022","5.2636","5.3260","5.3283","5.2491","72.48K","-1.21%"
"02/04/2022","5.3279","5.3027","5.3509","5.2778","86.45K","0.83%"
"02/03/2022","5.2839","5.2765","5.3232","5.2717","87.80K","0.42%"
"02/02/2022","5.2620","5.2687","5.3151","5.2540","62.25K","-0.07%"
"02/01/2022","5.2655","5.2983","5.3182","5.2639","75.45K","-0.73%"
"01/31/2022","5.3041","5.3698","5.3981","5.2838","85.28K","-1.18%"
"01/28/2022","5.3674","5.4099","5.4331","5.3664","89.11K","-0.72%"
"01/27/2022","5.4065","5.4336","5.4355","5.3532","108.44K","-0.48%"
"01/26/2022","5.4324","5.4456","5.4676","5.3918","95.55K","-0.21%"
"01/25/2022","5.4437","5.4880","5.5220","5.4278","92.16K","-0.80%"
"01/24/2022","5.4877","5.4528","5.5251","5.4528","112.20K","0.54%"
"01/21/2022","5.4582","5.4220","5.4752","5.4035","104.55K","0.72%"
"01/20/2022","5.4191","5.4428","5.4620","5.3790","87.17K","-0.35%"
"01/19/2022","5.4383","5.5484","5.5527","5.4372","86.80K","-2.30%"
"01/18/2022","5.5666","5.5217","5.5832","5.5043","77.79K","0.91%"
"01/17/2022","5.5165","5.5352","5.5390","5.4940","45.33K","-0.32%"
"01/14/2022","5.5344","5.5287","5.5537","5.5080","77.47K","0.10%"
"01/13/2022","5.5286","5.5350","5.5560","5.5005","73.25K","-0.09%"
"01/12/2022","5.5338","5.5660","5.6012","5.5195","80.10K","-0.62%"
"01/11/2022","5.5686","5.6657","5.6761","5.5635","77.83K","-1.67%"
"01/10/2022","5.6633","5.6340","5.6930","5.6286","60.86K","0.49%"
"01/07/2022","5.6355","5.6869","5.7106","5.6191","70.87K","-0.84%"
"01/06/2022","5.6834","5.6878","5.7255","5.6694","80.38K","-0.44%"
"01/05/2022","5.7087","5.6774","5.7242","5.6418","84.55K","0.56%"
"01/04/2022","5.6770","5.6666","5.7112","5.6371","82.13K","-0.08%"
"01/03/2022","5.6818","5.5668","5.6827","5.5564","68.61K","2.00%"
"12/31/2021","5.5703","5.5715","5.5717","5.5711","","-0.01%"
"12/30/2021","5.5710","5.6957","5.7039","5.5469","79.86K","-2.32%"
"12/29/2021","5.7032","5.6356","5.7105","5.6235","53.92K","1.33%"
"12/28/2021","5.6283","5.6262","5.6627","5.6195","58.79K","0.06%"
"12/27/2021","5.6249","5.6701","5.7067","5.6236","57.67K","-0.88%"
"12/24/2021","5.6750","5.6753","5.6753","5.6753","0.00K","0.00%"
"12/23/2021","5.6749","5.6554","5.7193","5.6259","65.47K","0.37%"
"12/22/2021","5.6540","5.7425","5.7442","5.6470","58.08K","-1.59%"
"12/21/2021","5.7451","5.7417","5.7579","5.7112","59.06K","0.05%"
"12/20/2021","5.7420","5.7141","5.7467","5.6892","73.83K","0.81%"
"12/17/2021","5.6959","5.6887","5.7167","5.6610","70.97K","0.13%"
"12/16/2021","5.6884","5.6693","5.7256","5.6589","79.16K","0.14%"
"12/15/2021","5.6806","5.6873","5.7364","5.6574","87.11K","-0.02%"
"12/14/2021","5.6815","5.6681","5.6986","5.6179","68.43K","0.02%"
"12/13/2021","5.6804","5.6105","5.6813","5.6012","60.01K","1.21%"
"12/10/2021","5.6127","5.5599","5.6358","5.5580","67.76K","0.72%"
"12/09/2021","5.5727","5.5374","5.5999","5.5175","65.64K","0.72%"
"12/08/2021","5.5327","5.6027","5.6364","5.5256","73.52K","-1.43%"
"12/07/2021","5.6128","5.6890","5.6890","5.6085","73.12K","-1.34%"
"12/06/2021","5.6891","5.6532","5.7029","5.6350","74.38K","0.64%"
"12/03/2021","5.6532","5.6514","5.6864","5.6006","104.84K","0.12%"
"12/02/2021","5.6462","5.6632","5.6790","5.6139","98.57K","-0.87%"
"12/01/2021","5.6955","5.6243","5.6959","5.5770","83.43K","1.27%"
"11/30/2021","5.6239","5.6037","5.6704","5.5778","91.94K","0.40%"
"11/29/2021","5.6017","5.6085","5.6403","5.5794","63.30K","-0.14%"
"11/26/2021","5.6093","5.6561","5.6561","5.5719","86.29K","0.77%"
"11/25/2021","5.5664","5.5925","5.5991","5.5479","46.00K","-0.71%"
"11/24/2021","5.6061","5.5712","5.6235","5.5540","79.82K","0.63%"
"11/23/2021","5.5712","5.5854","5.6636","5.5672","81.61K","-0.27%"
"11/22/2021","5.5865","5.6013","5.6144","5.5620","65.81K","-0.48%"
"11/19/2021","5.6135","5.5782","5.6151","5.5208","71.11K","1.01%"
"11/18/2021","5.5576","5.5291","5.5775","5.5237","67.63K","0.51%"
"11/17/2021","5.5292","5.4986","5.5359","5.4655","86.98K","0.48%"
"11/16/2021","5.5028","5.4591","5.5093","5.4296","84.35K","0.83%"
"11/15/2021","5.4575","5.4570","5.4580","5.4570","0.01K","-0.02%"
"11/12/2021","5.4588","5.4044","5.4686","5.3927","66.90K","1.11%"
"11/11/2021","5.3989","5.4945","5.4945","5.3879","60.63K","-1.68%"
"11/10/2021","5.4910","5.5010","5.5103","5.4357","81.55K","0.19%"
"11/09/2021","5.4804","5.5477","5.5495","5.4559","79.60K","-1.15%"
"11/08/2021","5.5440","5.5667","5.5979","5.5328","57.87K","0.02%"
"11/05/2021","5.5428","5.5988","5.6075","5.5012","82.66K","-1.06%"
"11/04/2021","5.6020","5.5880","5.6281","5.5627","80.61K","0.89%"
"11/03/2021","5.5525","5.6807","5.7000","5.5447","117.85K","-2.24%"
"11/02/2021","5.6795","5.6849","5.6849","5.6800","","-0.04%"
"11/01/2021","5.6815","5.6221","5.6888","5.6206","76.19K","0.79%"
"10/29/2021","5.6372","5.6464","5.6636","5.5972","106.78K","-0.16%"
"10/28/2021","5.6464","5.5374","5.6636","5.5367","91.21K","1.96%"
"10/27/2021","5.5380","5.5668","5.5924","5.5367","92.77K","-0.51%"
"10/26/2021","5.5666","5.5557","5.6068","5.5466","94.28K","0.19%"
"10/25/2021","5.5563","5.6533","5.6587","5.5367","82.92K","-1.61%"
"10/22/2021","5.6474","5.6584","5.7547","5.6214","106.51K","-0.18%"
"10/21/2021","5.6577","5.5987","5.6907","5.5979","114.69K","1.08%"
"10/20/2021","5.5975","5.5851","5.6026","5.5198","116.34K","0.23%"
"10/19/2021","5.5844","5.5128","5.6125","5.5128","103.45K","1.32%"
"10/18/2021","5.5117","5.4576","5.5434","5.4576","78.21K","0.93%"
"10/15/2021","5.4611","5.5139","5.5139","5.4337","75.82K","-0.94%"
"10/14/2021","5.5132","5.5139","5.5308","5.4670","85.68K","0.00%"
"10/13/2021","5.5133","5.5368","5.5737","5.4988","103.23K","-0.35%"
"10/12/2021","5.5325","5.5370","5.5372","5.5328","0.01K","-0.08%"
"10/11/2021","5.5367","5.5073","5.5445","5.4946","80.33K","0.52%"
